Ciudades;Alimentos Y Bebidas No Alcohólicas;Bebidas Alcohólicas Y Tabaco;Prendas De Vestir Y Calzado;Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles;Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar;Salud;Transporte;Información Y Comunicación;Recreación Y Cultura;Educación;Restaurantes Y Hoteles;Bienes Y Servicios Diversos;Total
Total IPC;2,46;1,47;0,40;0,49;2,29;1,63;3,98;0,08;1,48;0,00;3,11;1,92;1,78
Medellín;2,29;0,79;0,16;0,43;1,87;0,76;5,94;0,05;2,01;0,00;1,37;1,87;1,78
Barranquilla;2,89;1,61;0,57;0,84;2,38;1,08;1,38;0,03;1,98;0,00;2,42;1,49;1,61
Bogotá, D.C.;2,05;2,14;0,38;0,46;2,76;2,20;4,25;0,09;1,24;0,00;3,72;2,17;1,85
Cartagena De Indias;2,63;2,31;0,94;0,56;2,28;1,68;2,78;0,02;2,21;0,00;3,16;1,32;1,74
Tunja;2,39;2,13;0,88;0,83;0,87;2,25;4,63;0,15;1,41;0,00;2,61;2,27;1,86
Manizales;2,96;1,06;0,31;0,32;1,95;1,96;4,23;0,37;0,34;0,00;4,57;2,36;2,02
Florencia;2,94;1,90;0,99;0,70;1,72;1,05;2,76;0,48;0,92;0,00;1,62;1,45;1,72
Popayán;3,09;1,06;0,65;0,37;2,41;1,64;2,95;-0,05;1,25;0,00;4,15;2,58;1,99
Valledupar;2,60;1,25;-0,09;0,21;0,96;0,99;2,05;0,32;1,53;0,00;3,80;0,99;1,33
Montería;3,07;0,84;0,62;0,55;3,06;3,14;3,01;0,03;1,19;0,00;3,46;1,05;1,77
Neiva;1,99;1,89;0,80;0,19;4,18;0,80;3,50;0,23;1,60;0,00;2,33;1,93;1,60
Riohacha;3,20;0,24;0,19;0,52;1,80;1,39;1,23;0,32;1,07;0,00;3,38;2,12;1,63
Santa Marta;2,91;1,17;1,02;0,39;1,71;2,18;6,02;-0,01;1,08;0,00;3,16;2,04;1,94
Villavicencio;2,05;1,54;0,15;0,33;2,32;0,69;3,32;0,15;0,72;0,00;2,80;1,67;1,57
Pasto;2,54;2,24;0,58;0,79;1,21;0,98;4,44;0,12;1,10;0,00;2,91;1,28;1,88
Cúcuta;2,55;1,81;0,02;0,82;1,38;0,38;1,63;0,15;1,35;0,00;2,71;1,56;1,58
Armenia;2,53;0,92;0,42;0,59;1,90;0,93;4,31;0,05;2,16;0,00;2,76;2,12;1,90
Pereira;2,29;1,12;0,33;0,23;1,33;1,50;3,86;-0,07;0,66;0,00;3,08;1,90;1,51
Bucaramanga;3,31;1,76;0,52;0,54;3,22;1,22;3,33;-0,05;2,02;0,00;3,19;1,92;1,97
Sincelejo;1,84;0,85;0,66;0,33;1,56;1,03;1,82;-0,02;0,54;0,00;2,15;1,15;1,14
Ibagué;1,70;1,10;0,49;0,63;1,96;2,21;3,67;0,21;2,11;0,00;2,28;1,98;1,59
Cali;3,42;0,75;0,35;0,36;1,79;1,26;2,75;0,06;1,65;0,00;3,02;1,93;1,79
Otras Areas Urbanas;2,23;1,16;0,91;0,59;1,19;1,05;2,89;0,08;1,02;0,00;3,68;1,30;1,59
